Sample,Grouping,Order,Yeast,Bacteria,Preservative,number,random,new number,Weight,number of flies,absorbance,TAG,volume homogenized,volume assayed,dilution,TAG_homogenate,TAG_mg
S4707 D Cv 1,S4707 D Cv,K,S4707,Cv,D,1,0.987306402,39,6.8,5,0.5102,0.70102597,125,3,41.66666667,29.20941541,4.295502266
S4707 D Cv 2,S4707 D Cv,K,S4707,Cv,D,2,0.295465924,14,7.3,5,0.6088,0.859089452,125,3,41.66666667,35.79539382,4.903478606
S4707 D Cv 3,S4707 D Cv,K,S4707,Cv,D,3,0.787082219,30,7.5,5,0.469,0.63497916,125,3,41.66666667,26.457465,3.527662
S4707 D Cv 4,S4707 D Cv,K,S4707,Cv,D,4,0.10027346,7,7.4,5,0.4791,0.651170247,125,3,41.66666667,27.13209362,3.666499138
S4707 D Cv 5,S4707 D Cv,K,S4707,Cv,D,5,0.610735638,23,7.2,5,0.4585,0.618146842,125,3,41.66666667,25.75611841,3.577238669
S4707 D Cv 6,S4707 D Cv,K,S4707,Cv,D,6,0.872863543,34,7.3,5,0.3081,0.377043924,125,3,41.66666667,15.71016351,2.152077194
S4707 D Cv 7,S4707 D Cv,K,S4707,Cv,D,7,0.987602815,40,7.1,5,0.5611,0.782622635,125,3,41.66666667,32.60927648,4.592855842
S4707 D Cv 8,S4707 D Cv,K,S4707,Cv,D,8,0.507493746,17,7.4,5,0.6324,0.89692209,125,3,41.66666667,37.37175377,5.050236996
S4707 D Cv 9,S4707 D Cv,K,S4707,Cv,D,9,0.758248899,27,7,5,0.4782,0.649727477,125,3,41.66666667,27.0719782,3.867425457
S4707 D Cv 10,S4707 D Cv,K,S4707,Cv,D,10,0.025422022,3,8,5,0.4291,0.571016351,125,3,41.66666667,23.79234797,2.974043497
S4707 D Ax 1,S4707 D Ax,E,S4707,Ax,D,11,0.573491886,21,7,5,0.5353,0.741263225,125,3,41.66666667,30.88596772,4.412281104
S4707 D Ax 2,S4707 D Ax,E,S4707,Ax,D,12,0.24000503,12,7.5,5,0.4685,0.634177621,125,3,41.66666667,26.42406754,3.523209006
S4707 D Ax 3,S4707 D Ax,E,S4707,Ax,D,13,0.035258446,4,7.8,5,0.502,0.687880731,125,3,41.66666667,28.66169713,3.674576555
S4707 D Ax 4,S4707 D Ax,E,S4707,Ax,D,14,0.916268886,36,7.2,5,0.5947,0.836486053,125,3,41.66666667,34.85358555,4.840775771
S4707 D Ax 5,S4707 D Ax,E,S4707,Ax,D,15,0.578444412,22,7.7,5,0.2389,0.266110933,125,3,41.66666667,11.08795554,1.439994226
S4707 D Ax 6,S4707 D Ax,E,S4707,Ax,D,16,0.809973504,31,7,5,0.4721,0.639948702,125,3,41.66666667,26.66452923,3.809218461
S4707 D Ax 7,S4707 D Ax,E,S4707,Ax,D,17,0.765378655,29,7.2,5,0.468,0.633376082,125,3,41.66666667,26.39067009,3.665370845
S4707 D Ax 8,S4707 D Ax,E,S4707,Ax,D,18,0.569026994,20,6.9,5,0.6004,0.845623597,125,3,41.66666667,35.23431655,5.106422689
S4707 D Ax 9,S4707 D Ax,E,S4707,Ax,D,19,0.752518262,26,7.5,5,0.246,0.277492786,125,3,41.66666667,11.56219942,1.54162659
S4707 D Ax 10,S4707 D Ax,E,S4707,Ax,D,20,0.632713568,24,7.3,5,0.5408,0.750080154,125,3,41.66666667,31.25333975,4.281279417
SR03010 D Cv 1,SR03010 D Cv,L,SR03010,Cv,D,21,0.823320732,32,7.4,5,0.5462,0.758736775,125,3,41.66666667,31.61403228,4.272166524
SR03010 D Cv 2,SR03010 D Cv,L,SR03010,Cv,D,22,0.868647218,33,7.5,5,0.5873,0.824623277,125,3,41.66666667,34.3593032,4.581240426
SR03010 D Cv 3,SR03010 D Cv,L,SR03010,Cv,D,23,0.091809678,6,8,5,0.5347,0.740301379,125,3,41.66666667,30.84589078,3.855736347
SR03010 D Cv 4,SR03010 D Cv,L,SR03010,Cv,D,24,0.517938042,18,7.1,5,0.5852,0.821256813,125,3,41.66666667,34.21903388,4.819582236
SR03010 D Cv 5,SR03010 D Cv,L,SR03010,Cv,D,25,0.154759624,8,8.2,5,0.6968,1.000160308,125,3,41.66666667,41.67334616,5.082115385
SR03010 D Cv 6,SR03010 D Cv,L,SR03010,Cv,D,26,0.041695143,5,7.7,5,0.3288,0.410227637,125,3,41.66666667,17.09281821,2.219846521
SR03010 D Cv 7,SR03010 D Cv,L,SR03010,Cv,D,27,0.759132338,28,7.3,5,0.4039,0.530618788,125,3,41.66666667,22.10911617,3.028646051
SR03010 D Cv 8,SR03010 D Cv,L,SR03010,Cv,D,28,0.218119388,11,7.4,5,0.4827,0.656941327,125,3,41.66666667,27.37255531,3.69899396
SR03010 D Cv 9,SR03010 D Cv,L,SR03010,Cv,D,29,0.93055982,37,7.4,5,0.5073,0.696377044,125,3,41.66666667,29.01571016,3.921041914
SR03010 D Cv 10,SR03010 D Cv,L,SR03010,Cv,D,30,0.545922503,19,7.4,5,0.5713,0.79897403,125,3,41.66666667,33.29058459,4.498727647
SR03010 D Ax 1,SR03010 D Ax,F,SR03010,Ax,D,31,0.471371736,16,7.2,5,0.4845,0.659826868,125,3,41.66666667,27.49278615,3.818442521
SR03010 D Ax 2,SR03010 D Ax,F,SR03010,Ax,D,32,0.885666827,35,7.2,5,0.5259,0.726194293,125,3,41.66666667,30.25809554,4.20251327
SR03010 D Ax 3,SR03010 D Ax,F,SR03010,Ax,D,33,0.2783534,13,7.4,5,0.2599,0.299775569,125,3,41.66666667,12.49064871,1.687925502
SR03010 D Ax 4,SR03010 D Ax,F,SR03010,Ax,D,34,0.672211896,25,7.9,5,0.3059,0.373517153,125,3,41.66666667,15.56321471,1.970027178
SR03010 D Ax 5,SR03010 D Ax,F,SR03010,Ax,D,35,0.349686528,15,7.3,5,0.4355,0.58127605,125,3,41.66666667,24.21983542,3.317785674
SR03010 D Ax 6,SR03010 D Ax,F,SR03010,Ax,D,36,0.210110678,10,7.6,5,0.419,0.554825265,125,3,41.66666667,23.11771935,3.041805178
SR03010 D Ax 7,SR03010 D Ax,F,SR03010,Ax,D,37,0.002912858,1,7.2,5,0.5456,0.757774928,125,3,41.66666667,31.57395533,4.385271573
SR03010 D Ax 8,SR03010 D Ax,F,SR03010,Ax,D,38,0.006203298,2,7,5,0.4156,0.5493748,125,3,41.66666667,22.89061665,3.270088093
SR03010 D Ax 9,SR03010 D Ax,F,SR03010,Ax,D,39,0.972929009,38,7.9,5,0.4597,0.620070535,125,3,41.66666667,25.83627231,3.270414216
SR03010 D Ax 10,SR03010 D Ax,F,SR03010,Ax,D,40,0.157422043,9,7.7,5,0.4807,0.653735172,125,3,41.66666667,27.23896548,3.537527984
S4707 Cv 1,S4707 Cv,G,S4707,Cv,N,1,0.395704724,50,9.1,5,0.2769,0.380305868,125,3,41.66666667,15.84607782,1.741327233
S4707 Cv 2,S4707 Cv,G,S4707,Cv,N,2,0.783990137,12,8.8,5,0.2864,0.391388799,125,3,41.66666667,16.30786662,1.853166662
S4707 Cv 3,S4707 Cv,G,S4707,Cv,N,3,0.116985013,71,8.7,5,0.2015,0.262640449,125,3,41.66666667,10.94335206,1.257856559
S4707 Cv 4,S4707 Cv,G,S4707,Cv,N,4,0.599856562,30,8.7,5,0.1914,0.237617352,125,3,41.66666667,9.900722996,1.138014137
S4707 Cv 5,S4707 Cv,G,S4707,Cv,N,5,0.275220537,58,8.5,5,0.2342,0.313670412,125,3,41.66666667,13.0696005,1.537600059
S4707 Cv 6,S4707 Cv,G,S4707,Cv,N,6,0.115241593,72,8.3,5,0.2558,0.347378277,125,3,41.66666667,14.47409488,1.743866853
S4707 Cv 7,S4707 Cv,G,S4707,Cv,N,7,0.126333699,69,8.7,5,0.2515,0.340667915,125,3,41.66666667,14.19449646,1.631551318
S4707 Cv 8,S4707 Cv,G,S4707,Cv,N,8,0.06917561,75,8.2,5,0.2352,0.315230961,125,3,41.66666667,13.13462339,1.60178334
S4707 Cv 9,S4707 Cv,G,S4707,Cv,N,9,0.74620301,18,8.1,5,0.2696,0.364195533,125,3,41.66666667,15.17481386,1.873433809
S4707 Cv 10,S4707 Cv,G,S4707,Cv,N,10,0.423340166,49,8.1,5,0.4043,0.57911985,125,3,41.66666667,24.12999376,2.979011575
S4707 Ax 1,S4707 Ax,A,S4707,Ax,N,11,0.741213728,19,6.4,5,0.4086,0.589187439,125,3,41.66666667,24.54947664,3.835855725
S4707 Ax 2,S4707 Ax,A,S4707,Ax,N,12,0.260515004,61,7.1,5,0.3722,0.529026217,125,3,41.66666667,22.04275905,3.104613951
S4707 Ax 3,S4707 Ax,A,S4707,Ax,N,13,0.60353668,29,7.2,5,0.3169,0.440757527,125,3,41.66666667,18.36489695,2.550680131
S4707 Ax 4,S4707 Ax,A,S4707,Ax,N,14,0.620153921,28,7.3,5,0.3038,0.419553253,125,3,41.66666667,17.48138556,2.394710351
S4707 Ax 5,S4707 Ax,A,S4707,Ax,N,15,0.503384919,39,7.2,5,0.3625,0.514567821,125,3,41.66666667,21.44032589,2.97782304
S4707 Ax 6,S4707 Ax,A,S4707,Ax,N,16,0.761213616,16,7.3,5,0.3393,0.477015215,125,3,41.66666667,19.87563397,2.722689585
S4707 Ax 7,S4707 Ax,A,S4707,Ax,N,17,0.079636323,74,7.1,5,0.298,0.413233458,125,3,41.66666667,17.21806076,2.42507898
S4707 Ax 8,S4707 Ax,A,S4707,Ax,N,18,0.762202145,15,6.7,5,0.49,0.72094529,125,3,41.66666667,30.03938707,4.483490608
S4707 Ax 9,S4707 Ax,A,S4707,Ax,N,19,0.652853463,24,7.3,5,0.2801,0.381191324,125,3,41.66666667,15.88297184,2.175749567
S4707 Ax 10,S4707 Ax,A,S4707,Ax,N,20,0.10119071,73,6.8,5,0.3332,0.468164794,125,3,41.66666667,19.50686642,2.868656826
SR03010 Cv 1,SR03010 Cv,H,SR03010,Cv,N,21,0.749647498,17,8,5,0.2981,0.410326967,125,3,41.66666667,17.09695694,2.137119618
SR03010 Cv 2,SR03010 Cv,H,SR03010,Cv,N,22,0.382209912,52,8.2,5,0.2903,0.401217228,125,3,41.66666667,16.71738452,2.038705429
SR03010 Cv 3,SR03010 Cv,H,SR03010,Cv,N,23,0.939519339,4,7.9,5,0.3144,0.43671091,125,3,41.66666667,18.1962879,2.303327583
SR03010 Cv 4,SR03010 Cv,H,SR03010,Cv,N,24,0.546953522,36,8.4,5,0.2456,0.325348009,125,3,41.66666667,13.55616704,1.61382941
SR03010 Cv 5,SR03010 Cv,H,SR03010,Cv,N,25,0.99624025,2,8.2,5,0.2987,0.411298155,125,3,41.66666667,17.13742311,2.089929648
SR03010 Cv 6,SR03010 Cv,H,SR03010,Cv,N,26,0.139968494,68,7.8,5,0.2549,0.345973783,125,3,41.66666667,14.41557428,1.848150549
SR03010 Cv 7,SR03010 Cv,H,SR03010,Cv,N,27,0.485620741,41,8.4,5,0.3119,0.432664293,125,3,41.66666667,18.02767886,2.146152245
SR03010 Cv 8,SR03010 Cv,H,SR03010,Cv,N,28,0.811405635,11,8.3,5,0.2541,0.339106507,125,3,41.66666667,14.12943779,1.702341902
SR03010 Cv 9,SR03010 Cv,H,SR03010,Cv,N,29,0.257809516,62,8.2,5,0.2396,0.322097378,125,3,41.66666667,13.42072409,1.63667367
SR03010 Cv 10,SR03010 Cv,H,SR03010,Cv,N,30,0.451785164,45,8.3,5,0.2663,0.358853998,125,3,41.66666667,14.95224992,1.801475894
SR03010 Ax 1,SR03010 Ax,B,SR03010,Ax,N,31,0.589459672,31,7.5,5,0.5021,0.740530916,125,3,41.66666667,30.85545484,4.114060645
SR03010 Ax 2,SR03010 Ax,B,SR03010,Ax,N,32,0.635836848,25,6.9,5,0.3245,0.453059242,125,3,41.66666667,18.87746844,2.735864991
SR03010 Ax 3,SR03010 Ax,B,SR03010,Ax,N,33,0.433575919,46,7.2,5,0.4795,0.703949498,125,3,41.66666667,29.33122909,4.073781818
SR03010 Ax 4,SR03010 Ax,B,SR03010,Ax,N,34,0.150030651,67,6.9,5,0.2872,0.396379526,125,3,41.66666667,16.51581357,2.393596169
SR03010 Ax 5,SR03010 Ax,B,SR03010,Ax,N,35,0.916983089,6,7.5,5,0.6093,0.914049854,125,3,41.66666667,38.0854106,5.078054746
SR03010 Ax 6,SR03010 Ax,B,SR03010,Ax,N,36,0.629309896,26,7.5,5,0.4166,0.602136614,125,3,41.66666667,25.08902557,3.34520341
SR03010 Ax 7,SR03010 Ax,B,SR03010,Ax,N,37,0.997264279,1,7.7,5,0.2769,0.376011654,125,3,41.66666667,15.66715226,2.034695099
SR03010 Ax 8,SR03010 Ax,B,SR03010,Ax,N,38,0.776388479,13,7.6,5,0.2486,0.330203949,125,3,41.66666667,13.7584979,1.81032867
SR03010 Ax 9,SR03010 Ax,B,SR03010,Ax,N,39,0.039776387,77,7.8,5,0.2749,0.377184769,125,3,41.66666667,15.71603204,2.014875903
SR03010 Ax 10,SR03010 Ax,B,SR03010,Ax,N,40,0.037293435,78,7.2,5,0.3724,0.529338327,125,3,41.66666667,22.05576363,3.063300504
S4707 G Cv 1,S4707 G Cv,I,S4707,Cv,G,41,0.298345843,57,7.4,5,0.5198,0.759363296,125,3,41.66666667,31.64013733,4.275694234
S4707 G Cv 2,S4707 G Cv,I,S4707,Cv,G,42,0.662171811,23,6.8,5,0.3947,0.566688249,125,3,41.66666667,23.61201036,3.472354465
S4707 G Cv 3,S4707 G Cv,I,S4707,Cv,G,43,0.208284166,64,7.3,5,0.6894,1.024032459,125,3,41.66666667,42.66801914,5.844934129
S4707 G Cv 4,S4707 G Cv,I,S4707,Cv,G,44,0.772775235,14,7,5,0.4592,0.671090968,125,3,41.66666667,27.96212366,3.994589095
S4707 G Cv 5,S4707 G Cv,I,S4707,Cv,G,45,0.576251343,32,7.1,5,0.3579,0.507122046,125,3,41.66666667,21.13008525,2.976068345
S4707 G Cv 6,S4707 G Cv,I,S4707,Cv,G,46,0.909091719,7,7.2,5,0.4203,0.608125607,125,3,41.66666667,25.33856696,3.519245411
S4707 G Cv 7,S4707 G Cv,I,S4707,Cv,G,47,0.521352551,37,6.8,5,0.5314,0.787957268,125,3,41.66666667,32.83155282,4.828169533
S4707 G Cv 8,S4707 G Cv,I,S4707,Cv,G,48,0.478136005,42,7.2,5,0.3556,0.503399158,125,3,41.66666667,20.97496493,2.913189574
S4707 G Cv 9,S4707 G Cv,I,S4707,Cv,G,49,0.023823454,79,7.1,5,0.43,0.619225968,125,3,41.66666667,25.80108198,3.633955209
S4707 G Cv 10,S4707 G Cv,I,S4707,Cv,G,50,0.668390663,22,6.7,5,0.556,0.827775979,125,3,41.66666667,34.4906658,5.147860568
S4707 G Ax 1,S4707 G Ax,C,S4707,Ax,G,51,0.42387721,48,7.9,5,0.332,0.465199094,125,3,41.66666667,19.38329556,2.453581717
S4707 G Ax 2,S4707 G Ax,C,S4707,Ax,G,52,0.867610995,9,7.3,5,0.4219,0.610715442,125,3,41.66666667,25.44647675,3.485818732
S4707 G Ax 3,S4707 G Ax,C,S4707,Ax,G,53,0.82940329,10,6.7,5,0.3406,0.479119456,125,3,41.66666667,19.96331067,2.979598608
S4707 G Ax 4,S4707 G Ax,C,S4707,Ax,G,54,0.153557176,65,7,5,0.9727,1.46613608,125,3,41.66666667,61.08900333,8.727000476
S4707 G Ax 5,S4707 G Ax,C,S4707,Ax,G,55,0.515959008,38,7.5,5,0.3956,0.568145031,125,3,41.66666667,23.67270961,3.156361282
S4707 G Ax 6,S4707 G Ax,C,S4707,Ax,G,56,0.574350186,33,7.7,5,0.4047,0.582874717,125,3,41.66666667,24.28644653,3.154083965
S4707 G Ax 7,S4707 G Ax,C,S4707,Ax,G,57,0.393209271,51,7.5,5,0.3083,0.429307116,125,3,41.66666667,17.8877965,2.385039534
S4707 G Ax 8,S4707 G Ax,C,S4707,Ax,G,58,0.694231835,21,7.2,5,0.3862,0.552929751,125,3,41.66666667,23.03873961,3.199824946
S4707 G Ax 9,S4707 G Ax,C,S4707,Ax,G,59,0.32871242,55,7,5,0.3056,0.425093633,125,3,41.66666667,17.71223471,2.530319244
S4707 G Ax 10,S4707 G Ax,C,S4707,Ax,G,60,0.314468218,56,7.3,5,0.372,0.528714107,125,3,41.66666667,22.02975447,3.017774585
SR03010 G Cv 1,SR03010 G Cv,J,SR03010,Cv,G,61,0.232474708,63,7.3,5,0.8033,1.201779026,125,3,41.66666667,50.07412609,6.859469328
SR03010 G Cv 2,SR03010 G Cv,J,SR03010,Cv,G,62,0.974148441,3,7.1,5,0.3435,0.483813532,125,3,41.66666667,20.15889716,2.83928129
SR03010 G Cv 3,SR03010 G Cv,J,SR03010,Cv,G,63,0.456627465,44,7.1,5,0.6226,0.935577857,125,3,41.66666667,38.9824107,5.490480381
SR03010 G Cv 4,SR03010 G Cv,J,SR03010,Cv,G,64,0.041749078,76,6.8,5,0.5057,0.737359551,125,3,41.66666667,30.72331461,4.518134501
SR03010 G Cv 5,SR03010 G Cv,J,SR03010,Cv,G,65,0.122427247,70,7.1,5,0.4746,0.688826467,125,3,41.66666667,28.70110279,4.042408843
SR03010 G Cv 6,SR03010 G Cv,J,SR03010,Cv,G,66,0.151226276,66,6.7,5,0.6461,0.956460674,125,3,41.66666667,39.85252809,5.948138521
SR03010 G Cv 7,SR03010 G Cv,J,SR03010,Cv,G,67,0.558280238,34,7.1,5,0.476,0.698284234,125,3,41.66666667,29.09517643,4.097912174
SR03010 G Cv 8,SR03010 G Cv,J,SR03010,Cv,G,68,0.923831497,5,7.4,5,0.3867,0.553739074,125,3,41.66666667,23.07246142,3.117900192
SR03010 G Cv 9,SR03010 G Cv,J,SR03010,Cv,G,69,0.887098366,8,7.1,5,0.3788,0.540951764,125,3,41.66666667,22.53965685,3.174599556
SR03010 G Cv 10,SR03010 G Cv,J,SR03010,Cv,G,70,0.70527068,20,6.9,5,0.3688,0.524765296,125,3,41.66666667,21.86522068,3.168872562
SR03010 G Ax 1,SR03010 G Ax,D,SR03010,Ax,G,71,0.625495009,27,7.2,5,0.3899,0.558918744,125,3,41.66666667,23.288281,3.234483472
SR03010 G Ax 2,SR03010 G Ax,D,SR03010,Ax,G,72,0.267668356,60,7.5,5,0.4602,0.666354557,125,3,41.66666667,27.7647732,3.70196976
SR03010 G Ax 3,SR03010 G Ax,D,SR03010,Ax,G,73,0.557117149,35,7.1,5,0.6884,1.042084817,125,3,41.66666667,43.42020071,6.115521227
SR03010 G Ax 4,SR03010 G Ax,D,SR03010,Ax,G,74,0.340880152,54,7.3,5,0.4513,0.652465668,125,3,41.66666667,27.1860695,3.724119109
SR03010 G Ax 5,SR03010 G Ax,D,SR03010,Ax,G,75,0.342553104,53,7.4,5,0.4567,0.660892634,125,3,41.66666667,27.53719309,3.72124231
SR03010 G Ax 6,SR03010 G Ax,D,SR03010,Ax,G,76,0.499674454,40,6.7,5,0.6317,0.950307543,125,3,41.66666667,39.59614762,5.909872779
SR03010 G Ax 7,SR03010 G Ax,D,SR03010,Ax,G,77,0.462141415,43,6.9,5,0.6012,0.900938815,125,3,41.66666667,37.5391173,5.440451782
SR03010 G Ax 8,SR03010 G Ax,D,SR03010,Ax,G,78,0.013161137,80,7.1,5,0.4464,0.644818976,125,3,41.66666667,26.86745734,3.784148922
SR03010 G Ax 9,SR03010 G Ax,D,SR03010,Ax,G,79,0.270006167,59,6.9,5,0.7916,1.183520599,125,3,41.66666667,49.3133583,7.146863522
SR03010 G Ax 10,SR03010 G Ax,D,SR03010,Ax,G,80,0.43037283,47,7,5,0.716,1.086759469,125,3,41.66666667,45.28164455,6.468806364
